Month ,Day,Year,M1,M2,M3,M4,M5,MB
10,11,2016,42,45,39,48,36,3
10,14,2016,64,74,27,60,7,5
10,18,2016,24,7,74,28,65,1
10,21,2016,44,48,12,43,66,3
10,25,2016,24,49,67,9,8,13
10,28,2016,38,66,7,46,57,2
11,1,2016,39,19,31,24,45,13
11,4,2016,29,32,10,46,44,10
11,8,2016,48,74,46,53,61,12
11,11,2016,40,16,53,59,47,11
11,15,2016,23,57,71,9,17,6
11,18,2016,31,32,49,55,58,15
11,22,2016,45,69,1,66,43,7
11,25,2016,69,44,75,47,49,10
11,29,2016,51,33,49,59,22,8
12,2,2016,49,3,51,33,35,1
12,6,2016,13,34,48,53,63,12
12,9,2016,47,68,19,27,67,1
12,13,2016,41,34,2,26,15,14
12,16,2016,1,43,36,15,8,6
12,20,2016,12,48,65,1,14,2
12,23,2016,60,69,39,30,21,15
12,27,2016,30,2,39,28,38,11
12,30,2016,6,43,33,39,21,2
1,3,2017,49,16,14,23,53,12
1,6,2017,10,47,54,6,44,6
1,10,2017,41,11,40,59,20,15
1,13,2017,74,58,10,44,75,11
1,17,2017,20,54,59,31,56,3
1,20,2017,41,24,7,53,9,14
1,24,2017,54,67,42,63,8,11
1,27,2017,61,53,54,17,37,8
1,31,2017,3,27,14,72,62,4
2,3,2017,3,30,6,64,29,3
2,7,2017,28,37,23,71,56,12
2,10,2017,32,39,51,62,75,14
2,14,2017,7,11,68,60,33,15
2,17,2017,67,4,75,56,58,8
2,21,2017,32,75,30,21,9,9
2,24,2017,68,29,12,42,33,14
2,28,2017,33,69,58,45,20,4
3,3,2017,48,14,26,51,39,9
3,7,2017,30,68,3,53,45,11
3,10,2017,38,42,70,26,58,5
3,14,2017,16,59,33,28,23,13
3,17,2017,58,31,11,27,60,10
3,21,2017,45,4,53,75,73,7
3,24,2017,37,69,61,28,5,1
3,28,2017,35,30,46,37,33,10
3,31,2017,32,27,58,17,24,10
4,4,2017,35,24,13,34,55,9
4,7,2017,43,69,33,47,30,15
4,11,2017,34,38,35,49,19,8
4,14,2017,73,5,10,60,55,12
4,18,2017,64,29,8,43,30,6
4,21,2017,1,12,32,34,13,10
4,25,2017,3,50,13,40,33,2
4,28,2017,18,6,13,20,31,13
5,2,2017,43,42,5,58,14,1
5,5,2017,47,23,53,33,4,7
5,9,2017,6,45,73,69,29,11
5,12,2017,42,47,28,34,41,13
5,16,2017,56,35,4,72,39,11
5,19,2017,5,24,4,30,1,1
5,23,2017,33,6,17,60,13,14
5,26,2017,56,26,28,25,37,5
5,30,2017,32,37,20,5,67,5
6,2,2017,72,7,57,42,69,10
6,6,2017,49,75,16,3,5,5
6,9,2017,33,37,16,3,28,9
6,13,2017,62,51,75,68,27,8
6,16,2017,18,26,44,30,22,9
6,20,2017,63,41,2,49,15,3
6,23,2017,20,12,66,74,53,11
6,27,2017,4,57,21,45,52,14
6,30,2017,10,55,51,38,64,6
7,4,2017,53,16,39,71,47,15
7,7,2017,60,28,9,11,2,10
7,11,2017,55,74,7,24,18,10
7,14,2017,73,24,12,11,32,1
7,18,2017,73,51,8,23,12,6
7,21,2017,18,31,50,36,74,10
7,25,2017,58,5,60,26,2,6
